iter	Passed	Remaining
0	64	64350
1	68	33951
2	71	23766
3	75	18747
4	79	15788
5	82	13724
6	86	12241
7	90	11212
8	93	10313
9	98	9744
10	102	9228
11	106	8757
12	109	8316
13	114	8031
14	117	7717
15	121	7444
16	124	7215
17	128	7027
18	132	6831
19	136	6667
20	139	6500
21	142	6349
22	146	6237
23	150	6105
24	153	6005
25	157	5898
26	161	5829
27	165	5739
28	169	5658
29	172	5572
30	175	5489
31	179	5419
32	182	5347
33	185	5281
34	188	5205
35	191	5139
36	195	5094
37	199	5039
38	202	4982
39	205	4933
40	208	4887
41	212	4856
42	216	4820
43	220	4781
44	223	4739
45	226	4702
46	230	4674
47	233	4635
48	237	4604
49	240	4567
50	243	4539
51	247	4515
52	251	4486
53	254	4459
54	257	4426
55	261	4411
56	264	4380
57	268	4357
58	271	4332
59	275	4311
60	278	4290
61	281	4264
62	284	4237
63	287	4206
64	290	4179
65	293	4160
66	297	4139
67	300	4118
68	303	4097
69	306	4075
70	310	4062
71	313	4041
72	316	4020
73	320	4004
74	322	3982
75	326	3967
76	329	3948
77	332	3930
78	336	3917
79	339	3901
80	342	3889
81	346	3875
82	349	3859
83	352	3844
84	355	3828
85	359	3817
86	362	3802
87	365	3788
88	368	3774
89	371	3758
90	375	3746
91	378	3734
92	381	3722
93	384	3710
94	388	3699
95	392	3691
96	395	3680
97	399	3674
98	402	3662
99	407	3665
100	410	3657
101	414	3649
102	417	3638
103	420	3626
104	424	3618
105	428	3614
106	432	3608
107	435	3596
108	438	3587
109	442	3578
110	445	3567
111	448	3557
112	453	3558
113	456	3548
114	459	3536
115	462	3526
116	465	3516
117	469	3506
118	472	3498
119	475	3487
120	478	3477
121	482	3472
122	486	3469
123	491	3473
124	496	3475
125	502	3483
126	506	3482
127	510	3479
128	514	3475
129	522	3498
130	529	3511
131	533	3510
132	537	3503
133	541	3498
134	544	3487
135	547	3476
136	550	3469
137	553	3457
138	557	3454
139	560	3445
140	564	3437
141	567	3428
142	570	3418
143	573	3411
144	576	3401
145	579	3390
146	583	3383
147	585	3373
148	589	3366
149	592	3358
150	595	3350
151	599	3344
152	602	3334
153	605	3328
154	609	3320
155	612	3312
156	615	3304
157	618	3295
158	621	3288
159	625	3281
160	628	3274
161	631	3266
162	634	3259
163	638	3252
164	640	3243
165	644	3237
166	647	3231
167	650	3223
168	654	3218
169	657	3211
170	661	3204
171	664	3197
172	667	3189
173	670	3183
174	673	3174
175	676	3166
176	679	3160
177	682	3153
178	686	3146
179	689	3141
180	692	3133
181	695	3125
182	698	3118
183	701	3110
184	704	3104
185	707	3097
186	711	3091
187	714	3085
188	717	3077
189	720	3072
190	723	3065
191	726	3059
192	730	3054
193	733	3048
194	737	3043
195	740	3036
196	743	3031
197	747	3025
198	750	3020
199	753	3014
200	756	3007
201	759	3000
202	762	2994
203	765	2988
204	769	2982
205	772	2975
206	775	2969
207	778	2962
208	781	2957
209	784	2950
210	787	2943
211	790	2937
212	793	2931
213	796	2926
214	799	2919
215	803	2915
216	805	2907
217	809	2902
218	813	2900
219	816	2894
220	819	2889
221	822	2884
222	826	2880
223	830	2875
224	833	2870
225	837	2866
226	839	2859
227	842	2854
228	846	2849
229	849	2843
230	852	2839
231	855	2833
232	858	2826
233	861	2821
234	865	2816
235	868	2811
236	871	2805
237	874	2799
238	877	2794
239	880	2788
240	884	2784
241	887	2779
242	890	2774
243	893	2769
244	897	2764
245	900	2759
246	903	2754
247	906	2749
248	909	2744
249	913	2739
250	916	2734
251	919	2729
252	922	2723
253	925	2719
254	929	2715
255	932	2711
256	935	2706
257	938	2700
258	942	2695
259	945	2690
260	948	2685
261	951	2680
262	954	2675
263	957	2670
264	961	2665
265	964	2660
266	967	2656
267	970	2650
268	973	2645
269	976	2640
270	980	2637
271	984	2634
272	987	2630
273	990	2625
274	994	2621
275	997	2615
276	1001	2613
277	1004	2608
278	1007	2603
279	1010	2599
280	1013	2594
281	1017	2590
282	1020	2586
283	1024	2582
284	1027	2577
285	1030	2573
286	1033	2568
287	1036	2563
288	1040	2559
289	1043	2554
290	1046	2549
291	1050	2547
292	1053	2542
293	1056	2537
294	1060	2534
295	1063	2530
296	1066	2525
297	1070	2520
298	1073	2516
299	1076	2512
300	1081	2511
301	1085	2509
302	1090	2507
303	1093	2503
304	1098	2502
305	1102	2499
306	1105	2495
307	1109	2492
308	1113	2489
309	1117	2486
310	1120	2482
311	1123	2478
312	1127	2474
313	1130	2470
314	1134	2466
315	1137	2462
316	1140	2458
317	1143	2452
318	1146	2448
319	1150	2444
320	1153	2440
321	1157	2437
322	1161	2434
323	1165	2432
324	1194	2481
